2025-07-28 14:24:42.801 | WARNING  | app.main:processar_excel:146 - Erro ao processar linha 365: could not convert string to float: '343,96'
2025-07-28 14:24:42.803 | INFO     | app.main:processar_excel:149 - Processamento concluído: 422 transações de 448 linhas
2025-07-28 14:24:42.804 | INFO     | app.main:upload_extrato:309 - Processadas 422 transações
2025-07-28 14:24:42.804 | INFO     | app.main:upload_extrato:313 - Total de transações no sistema: 422
2025-07-28 14:24:42.804 | INFO     | app.main:upload_extrato:326 - Extrato AAI processado com sucesso: 422 transações
2025-07-28 14:24:42.804 | INFO     | app.main:upload_extrato:340 - Retornando resultado: {'success': True, 'message': 'Extrato AAI processado com sucesso!', 'extrato': {'id': '227dd73c-6d39-4360-a323-f53421872d66', 'banco': 'AAI', 'arquivo': 'Extrato Bancário - AAI.xlsx', 'total_transacoes': 422, 'processado_em': '2025-07-28T14:24:42.804471', 'status': 'PROCESSADO'}, 'total_transacoes': 422, 'resumo': {'creditos': 14, 'debitos': 408, 'valor_total': -1203008.92}}
2025-07-28 14:24:52.623 | INFO     | app.main:upload_extrato:292 - Recebido upload: Extrato Bancário - EDUCA.xlsx para banco EDUCAÇÃO
2025-07-28 14:24:52.623 | INFO     | app.main:upload_extrato:303 - Lendo conteúdo do arquivo...
2025-07-28 14:24:52.623 | INFO     | app.main:upload_extrato:305 - Arquivo lido: 26851 bytes
2025-07-28 14:24:52.624 | INFO     | app.main:upload_extrato:307 - Processando Excel...
2025-07-28 14:24:52.624 | INFO     | app.main:processar_excel:82 - Iniciando processamento Excel para banco EDUCAÇÃO
2025-07-28 14:24:52.637 | INFO     | app.main:processar_excel:86 - Excel lido com 423 linhas e colunas: ['Data', 'Histórico', 'Documento', 'Valor (R$)', 'Saldo (R$)']
2025-07-28 14:24:52.650 | INFO     | app.main:processar_excel:149 - Processamento concluído: 419 transações de 423 linhas
2025-07-28 14:24:52.651 | INFO     | app.main:upload_extrato:309 - Processadas 419 transações
2025-07-28 14:24:52.651 | INFO     | app.main:upload_extrato:313 - Total de transações no sistema: 841
2025-07-28 14:24:52.651 | INFO     | app.main:upload_extrato:326 - Extrato EDUCAÇÃO processado com sucesso: 419 transações
